Tue Mar 26 14:56:33 2024    program.prof

         2897415 function calls (2871004 primitive calls) in 375.989 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.012    0.012 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\io\json\__init__.py:1(<module>)
     2620    0.011    0.000    0.012    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:2586(_setup)
        1    0.000    0.000    0.012    0.012 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\contour.py:1(<module>)
21720/21711    0.010    0.000    0.012    0.000 {method 'join' of 'str' objects}
     2404    0.005    0.000    0.012    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.012    0.012 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\_config\__init__.py:1(<module>)
    77832    0.012    0.000    0.012    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.012    0.012 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numexpr\__init__.py:1(<module>)
      776    0.010    0.000    0.012    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\dtypes\cast.py:550(maybe_promote)
        1    0.001    0.001    0.011    0.011 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\io\json\_json.py:1(<module>)
      800    0.003    0.000    0.011    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexers\utils.py:290(length_of_indexer)
      801    0.007    0.000    0.011    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexing.py:813(_ensure_listlike_indexer)
        5    0.011    0.002    0.011    0.002 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\serial\serialwin32.py:100(_reconfigure_port)
     4252    0.006    0.000    0.011    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\artist.py:1555(aliased_name)
  191/171    0.000    0.000    0.011    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\typing.py:486(__getitem__)
      171    0.001    0.000    0.011    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\typing.py:665(Union)
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\mpl_toolkits\mplot3d\axis3d.py:1(<module>)
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numpy\core\multiarray.py:1(<module>)
      803    0.004    0.000    0.010    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\internals\base.py:69(shape)
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\serial\serialwin32.py:1(<module>)
     7798    0.008    0.000    0.010    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)
     6485    0.010    0.000    0.010    0.000 {built-in method time.time}
      213    0.001    0.000    0.010    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\frame.py:3982(_get_value)
      444    0.010    0.000    0.010    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexes\base.py:1(<module>)
       42    0.002    0.000    0.010    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\enum.py:497(__new__)
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pyparsing\helpers.py:1(<module>)
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\cm.py:1(<module>)
    55099    0.010    0.000    0.010    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\platform.py:363(win32_ver)
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\scale.py:1(<module>)
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\tri\__init__.py:1(<module>)
      891    0.002    0.000    0.010    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\common.py:96(is_bool_indexer)
      398    0.002    0.000    0.010    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\typing.py:1360(__init__)
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\platform.py:263(_syscmd_ver)
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\quiver.py:1(<module>)
     4912    0.010    0.000    0.010    0.000 {pandas._libs.lib.is_list_like}
      199    0.003    0.000    0.010    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numpy\core\numeric.py:1393(moveaxis)
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\subprocess.py:417(check_output)
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\textpath.py:1(<module>)
        1    0.000    0.000    0.010    0.010 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\subprocess.py:506(run)
      201    0.004    0.000    0.009    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexes\base.py:842(_engine)
      219    0.005    0.000    0.009    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\construction.py:519(sanitize_array)
        1    0.000    0.000    0.009    0.009 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numpy\core\overrides.py:1(<module>)
      934    0.007    0.000    0.009    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\inspect.py:2972(__init__)
        1    0.000    0.000    0.009    0.009 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1(<module>)
     2859    0.003    0.000    0.009    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexers\utils.py:62(is_list_like_indexer)
        1    0.000    0.000    0.009    0.009 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\_config\config.py:1(<module>)
      788    0.001    0.000    0.009    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:178(sub)
      801    0.005    0.000    0.009    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\internals\blocks.py:232(_standardize_fill_value)
       48    0.000    0.000    0.009    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\__init__.py:1360(_add_data_doc)
        1    0.000    0.000    0.009    0.009 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\serial\tools\list_ports_windows.py:419(comports)
      724    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:169(__enter__)
        4    0.007    0.002    0.009    0.002 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\serial\tools\list_ports_windows.py:238(iterate_comports)
        1    0.000    0.000    0.009    0.009 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pyparsing\common.py:1(<module>)
        1    0.000    0.000    0.009    0.009 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numpy\core\numerictypes.py:1(<module>)
        1    0.000    0.000    0.009    0.009 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\computation\api.py:1(<module>)
      800    0.009    0.000    0.009    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\internals\blocks.py:1023(set_inplace)
       79    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        1    0.000    0.000    0.008    0.008 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pyparsing\common.py:8(pyparsing_common)
        1    0.000    0.000    0.008    0.008 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\font_manager.py:1(<module>)
     2689    0.006    0.000    0.008    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\generic.py:562(_get_axis)
        1    0.000    0.000    0.008    0.008 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\PIL\ExifTags.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\secrets.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\computation\eval.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\internals\__init__.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\platform.py:575(_node)
        1    0.000    0.000    0.008    0.008 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numpy\core\numeric.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\algorithms.py:1(<module>)
    18400    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.008    0.004 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\experiment_control_window.py:126(populate_stimuli_frame)
        1    0.000    0.000    0.008    0.008 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\io\parsers\__init__.py:1(<module>)
       18    0.000    0.000    0.008    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\rcsetup.py:799(validate_cycler)
      672    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        1    0.000    0.000    0.008    0.008 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numpy\ma\__init__.py:1(<module>)
      317    0.001    0.000    0.007    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numpy\core\overrides.py:142(decorator)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\arrays\string_.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\experiment_control_window.py:238(on_window_close)
     6715    0.005    0.000    0.007    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\enum.py:686(__call__)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\io\excel\__init__.py:1(<module>)
     1174    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
      215    0.001    0.000    0.007    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\frame.py:4402(_get_item_cache)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numexpr\necompiler.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\dtypes\dtypes.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\compat\numpy\__init__.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\_typing.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\frame.py:491(DataFrame)
     2527    0.005    0.000    0.007    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:62(_stringify)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\artist.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numpy\polynomial\__init__.py:1(<module>)
       93    0.001    0.000    0.007    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\frame.py:3776(_ixs)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\dateutil\parser\__init__.py:1(<module>)
     8994    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
       65    0.004    0.000    0.007    0.000 {built-in method builtins.eval}
     1612    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\main_gui.py:175(display_timers)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\arrays\categorical.py:1(<module>)
      614    0.002    0.000    0.007    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\dtypes\missing.py:696(is_valid_na_for_dtype)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\ctypes\__init__.py:1(<module>)
     2403    0.004    0.000    0.007    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexing.py:878(<genexpr>)
     2256    0.002    0.000    0.007    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.007    0.007 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\reshape\api.py:1(<module>)
     2620    0.005    0.000    0.006    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:2625(<listcomp>)
    17235    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.006    0.006 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\data_management.py:97(create_trial_blocks)
        1    0.000    0.000    0.006    0.006 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\io\parsers\readers.py:1(<module>)
       79    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        1    0.000    0.000    0.006    0.006 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numpy\core\_type_aliases.py:1(<module>)
      826    0.002    0.000    0.006    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\typing.py:168(_type_check)
        1    0.000    0.000    0.006    0.006 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\ticker.py:1(<module>)
      201    0.003    0.000    0.006    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\queue.py:154(get)
        1    0.001    0.001    0.006    0.006 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\data_management.py:173(create_random_intervals)
        3    0.000    0.000    0.006    0.002 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\patches.py:2211(__init_subclass__)
      266    0.000    0.000    0.006    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\util\_decorators.py:387(<listcomp>)
        6    0.000    0.000    0.006    0.001 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\patches.py:2253(pprint_styles)
       47    0.002    0.000    0.006    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\collections\__init__.py:350(namedtuple)
      473    0.004    0.000    0.006    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\enum.py:242(__set_name__)
        1    0.000    0.000    0.006    0.006 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\dateutil\tz\__init__.py:1(<module>)
       12    0.000    0.000    0.006    0.001 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\experiment_control_window.py:39(create_labeled_entry)
      888    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      672    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
     2409    0.002    0.000    0.006    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\internals\base.py:71(<genexpr>)
        1    0.000    0.000    0.006    0.006 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\socket.py:1(<module>)
        1    0.000    0.000    0.006    0.006 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:1(<module>)
      196    0.000    0.000    0.006    0.000 <frozen abc>:105(__new__)
     5181    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        1    0.000    0.000    0.006    0.006 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\cm.py:32(_gen_cmap_registry)
      943    0.003    0.000    0.006    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\functools.py:35(update_wrapper)
       12    0.000    0.000    0.006    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pyparsing\core.py:1132(parse_string)
      804    0.003    0.000    0.006    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\internals\blocks.py:2483(ensure_block_shape)
        1    0.000    0.000    0.006    0.006 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\generic.py:238(NDFrame)
        1    0.000    0.000    0.006    0.006 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\table.py:1(<module>)
     1194    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        3    0.000    0.000    0.006    0.002 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\main_gui.py:153(create_timer)
        3    0.000    0.000    0.006    0.002 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\frame.py:1455(itertuples)
        6    0.000    0.000    0.006    0.001 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\patches.py:2257(<listcomp>)
        1    0.000    0.000    0.006    0.006 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\serial\tools\list_ports.py:1(<module>)
        3    0.000    0.000    0.005    0.002 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\ttk.py:506(__init__)
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\legend.py:1(<module>)
     9140    0.004    0.000    0.005    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:168(__getitem__)
      615    0.000    0.000    0.005    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numexpr\utils.py:1(<module>)
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\PIL\PngImagePlugin.py:1(<module>)
     7406    0.003    0.000    0.005    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:261(get)
        2    0.005    0.003    0.005    0.003 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\testing.py:1(<module>)
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\groupby\ops.py:1(<module>)
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\subprocess.py:1165(communicate)
     7319    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
     7005    0.005    0.000    0.005    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\util\version\__init__.py:1(<module>)
      388    0.005    0.000    0.005    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\font_manager.py:1564(_load_fontmanager)
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\main_gui.py:279(entry_widgets)
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\__init__.py:253(_check_versions)
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\dateutil\tz\tz.py:1(<module>)
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\arrays\datetimes.py:1(<module>)
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\axes\_secondary_axes.py:1(<module>)
        1    0.000    0.000    0.005    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\packaging\version.py:1(<module>)
     2256    0.002    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
      290    0.004    0.000    0.005    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\generic.py:6147(__finalize__)
